latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
42.6494937,-73.7528012,INOC Data Centers · 80 State Street,INOC Data Centers,"80 State Street, Albany, NY, USA",1,,4000.0,1984.0,datacenterhawk; datacenters.com,1.0,1.0,NY,Individual,0.35392996668815613,8.294299608857235,False,False,True,0.4246554096495041
42.685698,-71.20861599999999,TierPoint · AND,TierPoint,"15 Shattuck Road, Andover, MA, USA",1,,92700.0,1984.0,datacenterhawk; datacenters.com,1.0,1.0,MA,Individual,1.8976792097091675,11.437134538982278,False,False,True,5.670395874790931
42.68604879999999,-73.8425527,INOC Data Centers · 4 Tower Place,INOC Data Centers,"4 Tower Place, Albany, NY, USA",1,,,1971.0,datacenterhawk,1.0,1.0,NY,Individual,,,False,False,True,
42.6959327,-71.2109207,NaviSite · 400 Minuteman Road,NaviSite,"400 Minuteman Road, Andover, MA, USA",1,6.0,56000.0,2000.0,datacenterhawk; datacenters.com,1.0,1.0,MA,Individual,1.9459101490553132,10.933124826700707,False,False,True,5.999999999999999
42.7454425,-73.7591886,ColoHouse · Albany,Colohouse,"175 Old Loudon Road, Latham, NY, USA",2,,12000.0,1960.0,datacenterhawk; datacenters.com,1.0,1.0,NY,Individual,-0.10556191205978394,9.392745258631441,False,False,True,-0.10018123851075733
42.8253294,-85.6726642,US Signal · Grand Rapids South,US Signal,"400 76th St. SW, Byron Center, MI, USA",2,0.0,0.0,2009.0,datacenterhawk; datacenters.com,1.0,1.0,MI,Campus,0.0,0.0,False,True,False,0.0
42.8254201,-85.6728083,123Net · DC4,Consumers Energy,"400 76th St. SW, Suite 12, Byron Center, MI, USA",1,0.6,,2009.0,datacenterhawk,1.0,1.0,Byron Center,Individual,0.47000362924573563,,False,False,True,0.6000000000000001
42.8523471,-85.560092,Switch · GRAND RAPIDS 2,Switch,"6100 E Paris Ave S, Grand Rapids, MI, USA",4,440.0,1755248.0,1989.0,datacenterhawk,0.7600170502983802,0.5454545454545454,MI,Campus,6.089044875446846,14.378121285159919,False,True,False,440.0
42.876577,-85.5644307,US Signal · Grand Rapids East,US Signal,"4765 Barden Ct. SE, Kentwood, MI, USA",2,0.0,0.0,2015.0,datacenterhawk,1.0,1.0,MI,Campus,0.0,0.0,False,True,False,0.0
42.8842134,-78.8756835,"CentriLogic · 350 Main Street, Suite 100",CentriLogic,"350 Main Street, Suite 100, Buffalo, NY, USA",3,,,1969.0,datacenterhawk; datacenters.com,0.7333333333333334,0.2608695652173913,Buffalo,Ambiguous/Flagged,,,False,False,False,
