latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
29.413336,-98.786711,CyrusOne · SAT8/9,CyrusOne,"14677 Omicron Drive, San Antonio, TX, USA",Individual,2,0.0,279730.0,,datacenterhawk; datacentermap,1.0,1.0
29.4140042,-98.8029432,Microsoft Azure: San Antonio - Texas,Microsoft Azure,"15000 Lambda Dr, San Antonio, TX, 78245, USA",Individual,1,,159000.0,2018.0,datacentermap; datacenters.com,1.0,1.0
29.41494849999999,-98.7993956,CloudHQ: SAT Campus United States,,"15255 Lambda Dr, San Antonio, TX, 78245, USA",Individual,1,,,,datacenters.com,1.0,1.0
29.4157417,-98.7988725,CloudHQ · SAT-1,CPS Energy,"15355 Lambda Drive, San Antonio, TX, USA",Campus,9,168.0,343000.0,,datacenterhawk,0.8479689366786142,0.876543209876543
29.4170122,-98.7889405,Vantage Data Centers · TX11,Vantage Data Centers,"14720 Omicron Drive, San Antonio, TX, USA",Individual,1,,,,datacenterhawk,1.0,1.0
29.4189881,-98.7876189,CyrusOne · SAT5,CyrusOne,"14719 Omicron Dr, San Antonio, TX, USA",Individual,4,0.0,762620.0,2019.0,datacenterhawk; datacentermap; datacenters.com,1.0,1.0
29.420546,-98.7897219,CyrusOne · SAT10,CyrusOne,"14785 Omicron Drive, San Antonio, TX, USA",Ambiguous/Flagged,2,,,,datacenterhawk,0.5384615384615384,0.3333333333333333
29.4241791,-98.49122698484392,Windstream San Antonio,Windstream,"106 S St Mary's St, San Antonio, TX, 78205, USA",Individual,1,,,,datacentermap,1.0,1.0
29.42842859014774,-98.49398664108584,CityNAP,5,"415 N Main Ave, San Antonio, TX, 78205, USA",Individual,1,,,,datacentermap,1.0,1.0
29.429366,-98.487373,H5 Data Centers San Antonio,H5 Data Centers,"100 Taylor St., San Antonio, TX, 78205, USA",Individual,1,,85000.0,,datacentermap,1.0,1.0
29.4293716,-98.4867924,H5 Data Centers · 100 Taylor Street,CPS Energy,"100 Taylor Street, San Antonio, TX, USA",Individual,1,4.5,85000.0,1914.0,datacenterhawk; datacenters.com,1.0,1.0
29.4300656,-98.8755222,Microsoft San Antonio (SAT80 & SAT81),Microsoft,"18844 Fm1957, San Antonio, TX, 78009, USA",Individual,1,,,,datacentermap,1.0,1.0
29.438297504654177,-98.50608314674209,Lumen San Antonio 2,Lumen,"1203 N. Frio Street, San Antonio, TX, 78207, USA",Individual,1,,12000.0,,datacentermap,1.0,1.0
29.44595021518987,-98.65593046835444,QTS Data Centers: San Antonio Data Center,QTS Data Centers,"8535 Potranco Rd, San Antonio, TX, 78251, USA",Individual,1,90.0,285000.0,,datacentermap; datacenters.com,1.0,1.0
29.4478852,-98.6524784,QTS · SAT2 DC1,QTS,"8535 Potranco Road, San Antonio, TX, USA",Building,2,0.0,338721.0,2021.0,datacenterhawk,0.9285714285714286,1.0
29.4485717,-98.7126625,Stream Data Centers · San Antonio III,CPS Energy,"11203 Military Drive W #1, San Antonio, TX, USA",Individual,5,40.0,300000.0,,datacenterhawk,0.9696706546407491,1.0
29.4532,-98.6371074,Not Available,Amazon AWS,"7400 Potranco Rd, San Antonio, TX, 78251, USA",Individual,1,12.0,109600.0,,datacentermap; datacenters.com,1.0,1.0
29.4665583,-98.68811850000002,CyrusOne · SAT1,CyrusOne,"9999 Westover Hills Boulevard, San Antonio, TX, USA",Individual,1,9.0,110000.0,1996.0,datacenterhawk; datacenters.com,1.0,1.0
29.46662675,-98.6881525704134,CyrusOne SAT1 - San Antonio,CyrusOne Data Centers,"9999 Westover Hills Blvd, San Antonio, TX, 78251, USA",Individual,1,9.0,64000.0,,datacentermap,1.0,1.0
