unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
dc-blox-chattanooga-cha1,datacenters.com,DC BLOX: Chattanooga CHA1 Data Center,DC BLOX,807 East 16th Street,Chattanooga,,TN,USA,8000 sqft total space,7000 sqft colocation space,,1.0 MW total power,,"SOC 2 Type 2, SOC 3",https://www.datacenters.com/dc-blox-chattanooga-cha1,1.0,8000.0
databank-slc4-granite-point,datacenters.com,DataBank: SLC4 Granite Point Data Center,DataBank,14860 Pony Express Road,Riverton,,UT,USA,,20740 sqft,,2.0 MW,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-slc4-granite-point,2.0,20740.0
databank-mci2-pine-ridge,datacenters.com,DataBank: MCI2 Pine Ridge Data Center,DataBank,10605 West 84th Terrace,Lenexa,,KS,USA,31000 sqft total space,11510 sqft colocation space,,2.0 MW total power,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-mci2-pine-ridge,2.0,31000.0
iron-rails-union-station,datacenters.com,Iron Rails Data Centers: Union Station Data Center,Iron Rails Data Centers,575 Broadway,Albany,12207,NY,USA,97000 sqft total space,14950 sqft colocation space,,4.0 MW total power,,,https://www.datacenters.com/iron-rails-union-station,4.0,97000.0
1547-critical-systems-realty-miwi1-wells-building,datacenters.com,1547 Critical Systems Realty: MIWI1 Wells Building Data Center,1547 Critical Systems Realty,324 East Wisconsin Avenue,Milwaukee,,WI,USA,160000 sqft total space,160000 sqft,,12.0 MW total power,,"HIPAA, SOC 2, SSAE 16 Type 2",https://www.datacenters.com/1547-critical-systems-realty-miwi1-wells-building,12.0,160000.0
netrality-401-north-broad-philadelphia,datacenters.com,Netrality Data Centers: 401 North Broad Philadelphia Data Center,Netrality Data Centers,401 North Broad Street,Philadelphia,,PA,USA,1300000 sqft,283744 sqft,,40.0 MW,,"HIPAA, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2",https://www.datacenters.com/netrality-401-north-broad-philadelphia,40.0,1300000.0
whitelabel-it-solutions-150-atlantic-street,datacenters.com,Whitelabel IT Solutions: 150 Atlantic Street Data Center,Whitelabel IT Solutions,159 Atlantic Street,Hackensack,,NJ,USA,20000 sqft total space,12000 sqft colocation space,,2.0 MW total power,,HIPAA,https://www.datacenters.com/whitelabel-it-solutions-150-atlantic-street,2.0,20000.0
evocative-el-segundo-lax10,datacenters.com,Not Available,,2260 East El Segundo Boulevard,El Segundo,,CA,USA,100000 sqft total space,100000 sqft,,15.0 MW total power,,"HIPAA, ISAE-3402, PCI DSS, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/evocative-el-segundo-lax10,15.0,100000.0
atlantic-net-san-francisco,datacenters.com,Atlantic.net: San Francisco Data Center,The Digital Realty Trust,2820 Northwestern Pkwy,Santa Clara,,CA,USA,198000 sqft total space,198000 sqft,,7.0 MW,Enterprise,"HIPAA, HITECH, PCI DSS, Privacy Shield, SOC 2, SOC 2 Type 2, SOC 3",https://www.datacenters.com/atlantic-net-san-francisco,7.0,198000.0
aptum-technologies-mia-89p,datacenters.com,Aptum Technologies: MIA-89P Data Center,Aptum Technologies,2300 NW 89th Pl,Doral,33172,FL,USA,50176 sqft total space,15000 sqft colocation space,1984,2.0 MW total power,,"ISO 27001, PCI DSS, SOC 1",https://www.datacenters.com/aptum-technologies-mia-89p,2.0,50176.0
