unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/vantage-ca3-santa-clara-iii/,datacentermap,Vantage CA3 - Santa Clara III,Vantage Data Centers,2590 Walsh Ave,Santa Clara,95051,California,USA,"486,000 sq.f.","486,000 sq.f.",,64 MW,,,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca3-santa-clara-iii/,64.0,486000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/lightedge-santa-clara/,datacentermap,LightEdge - Santa Clara,LightEdge,2805 Bowers Ave,Santa Clara,95051,California,USA,"244,070 sq.f.","244,070 sq.f.",,72 MW,,,https://www.datacentermap.com/usa/california/santa-clara/lightedge-santa-clara/,72.0,244070.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-1/,datacentermap,Vantage CA2 - Building 1,Vantage Data Centers,765 Mathew St,Santa Clara,95050,California,USA,"541,000","541,000",,75MW,,,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-1/,75.0,541000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-2/,datacentermap,Vantage CA2 - Building 2,Vantage Data Centers,651 Mathew St,Santa Clara,95050,California,USA,"541,000","541,000",,75MW,,,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-2/,75.0,541000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-3/,datacentermap,Vantage CA2 - Building 3,Vantage Data Centers,737 Mathew St,Santa Clara,95050,California,USA,"541,000","541,000",,75MW,,,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-3/,75.0,541000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-santa-clara-ii-campus/,datacentermap,Vantage CA2 -Santa Clara II Campus,Vantage Data Centers,625-765 Mathew St,Santa Clara,95050,California,USA,"541,000 square feet","541,000 square feet",,75MW,,,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-santa-clara-ii-campus/,75.0,541000.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca3/,datacentermap,NTT Sacramento CA3,,1625 West National Drive,Sacramento,,California,USA,"68,469 sq.f.","68,469 sq.f.",,14 MW,,DSS PCI Certified ISO27001 Certified LEED Gold HIPAA SOC 1 Type II Certified SOC 2 Type II Certified NIST 800-53 Certified,https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca3/,14.0,68469.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/prime-building-one/,datacentermap,Prime Sacramento Data Center Campus,Prime Data Centers,2407 AK Street,Sacramento,95652,California,USA,"114,711 sq.f.","215,000 sq.f.",2019,26 MW,,"Tier 3, ISO27001 Certified, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/sacramento/prime-building-one/,26.0,215000.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca2/,datacentermap,NTT Sacramento CA2,NTT Global Data Centers,1312 Striker Avenue,Sacramento,95834,California,USA,"87,855 sq.f.","87,855 sq.f.",,26.1 MW,,"DSS, PCI Certified, ISO27001 Certified, LEED Gold, HIPAA, SOC 1 Type II Certified, SOC 2 Type II Certified, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/sacramento/ntt-sacramento-ca2/,26.1,87855.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/quest-roseville-sdc/,datacentermap,Quest Roseville HABC,Quest Technology Management,9000 Foothills Blvd,Roseville,95765,California,USA,"20,000 sq.f.","20,000 sq.f.",2014,8 MW,,"Tier 3, SSAE 16 Type II, DSS, PCI Compliant, SAS70 Type 2 Certified, HIPAA",https://www.datacentermap.com/usa/california/sacramento/quest-roseville-sdc/,8.0,20000.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/edcsac01/,datacentermap,EdgeConneX Sacramento - EDCSAC01,EdgeConneX,10980 Gold Center Dr,Sacramento,95670,California,USA,"28,500 sq.f.","6,500 sq.f.",,1.5 MW,,"Tier Design Tier 3, DSS, PCI Compliant, ISO27001 Certified, HIPAA, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/sacramento/edcsac01/,1.5,28500.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/prime-sacramento-dc2/,datacentermap,Prime Sacramento - Data Center 2,Prime Data Centers,2408 AK Street,Sacramento,95652,California,USA,"75,000 sq.f.","150,000 sq.f.",,18 MW,,"Tier 3, ISO27001 Certified, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/sacramento/prime-sacramento-dc2/,18.0,150000.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/datacate/,datacentermap,Datacate Rancho Cordova,Datacate Inc.,2999 Gold Canal Dr.,Sacramento,95670,California,USA,"18,000 sq.f.","12,000 sq.f.",,1.4 MW,,"HIPAA, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/california/sacramento/datacate/,1.4,18000.0
California_Sacramento_https://www.datacentermap.com/usa/california/sacramento/sungard-sacramento/,datacentermap,365 Data Centers - Rancho Cordova,,"365 Data Centers, 11085 Sun Center Dr, 95670 Rancho Cordova",Sacramento,,California,USA,"69,000 sq.f.",,,5 MW,,,https://www.datacentermap.com/usa/california/sacramento/sungard-sacramento/,5.0,69000.0
California_San Diego_https://www.datacentermap.com/usa/california/san-diego/mdc-san-diego/,datacentermap,MDC San Diego - SDG1,MDC Data Centers,7014 Manya Cir,San Diego,92154,California,USA,"7,920 sq.f.","3,000 sq.f.",2023,0.5 MW,,Tier 3,https://www.datacentermap.com/usa/california/san-diego/mdc-san-diego/,0.5,7920.0
California_San Diego_https://www.datacentermap.com/usa/california/san-diego/castle-access/,datacentermap,DataBank SAN1 - San Diego World Trade,DataBank,12270 World Trade Drive,San Diego,92128,California,USA,"55,140 sq.f.","55,140 sq.f.",,3.2 MW,,"ISO 9001, 20000, 27001, SAS 70 Type II, SSAE16",https://www.datacentermap.com/usa/california/san-diego/castle-access/,3.2,55140.0
