unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
1547-critical-systems-realty-haii1-alohanap,datacenters.com,1547 Critical Systems Realty: HAII1 AlohaNAP Data Center,HAII1 AlohaNAP,91-340 Farrington Hwy,Kapolei,,HI,USA,10200 sqft total space,8350 sqft colocation space,,2.0 MW total power,,"HIPAA, PCI DSS, SOC 2, SSAE 16 Type 2",https://www.datacenters.com/1547-critical-systems-realty-haii1-alohanap,2.0,10200.0
telehouse-new-york-chelsea,datacenters.com,Telehouse: New York Chelsea Data Center,Telehouse,85 10th Avenue,New York,,NY,USA,635000 sqft total space,60000 sqft colocation space,,4.0 MW total power,,"HIPAA, PCI DSS, SOC 1 Type 2",https://www.datacenters.com/telehouse-new-york-chelsea,4.0,635000.0
breezehost-io-los-angeles,datacenters.com,BreezeHost.io: Los Angeles,BreezeHost.io,2947 Bradley Street,Pasadena,,CA,USA,,52000 sqft,,,,,https://www.datacenters.com/breezehost-io-los-angeles,,52000.0
dc-blox-myrtle-beach-cable-landing-station,datacenters.com,DC BLOX: Myrtle Beach Cable Landing Station,DC BLOX,1401 Howard Avenue,Myrtle Beach,,SC,USA,125000 sqft total space,125000 sqft,,15.0 MW,Hyperscale,,https://www.datacenters.com/dc-blox-myrtle-beach-cable-landing-station,15.0,125000.0
edged-edged-phoenix,datacenters.com,Edged: Edged Phoenix Data Center,,8811 East Warner Road,Mesa,85212,AZ,USA,,,,36.0 MW,,,https://www.datacenters.com/edged-edged-phoenix,36.0,
inap-phoenix-1,datacenters.com,INAP: Phoenix 1 Data Center,,2121 South Price Road,Chandler,,AZ,USA,58000 sqft total space,58000 sqft colocation space,,22.0 MW total power,,"HIPAA, LEED, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/inap-phoenix-1,22.0,58000.0
qts-hillsboro-3,datacenters.com,QTS Data Centers: Hillsboro 3 Data Center,,5419 NE Starr Blvd,Hillsboro,97124,OR,USA,,,,,,,https://www.datacenters.com/qts-hillsboro-3,,
lincoln-rackhouse-atl2,datacenters.com,Lincoln Rackhouse: ATL2 Data Center,Lincoln Rackhouse,4905 North Point Parkway,Alpharetta,,GA,USA,,,,,,,https://www.datacenters.com/lincoln-rackhouse-atl2,,
google-111-eight-avenue,datacenters.com,Google: 111 Eight Avenue,Google,111 8th Avenue,New York,10011,New York,USA,,,,,,,https://www.datacenters.com/google-111-eight-avenue,,
h5-seattle,datacenters.com,H5 Data Centers: Seattle Data Center,H5 Data Centers,1000 Denny Way,Seattle,,WA,USA,293000 sqft total space,40000 sqft colocation space,,30.0 MW total power,,"ISO 27001, SOC 1, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/h5-seattle,30.0,293000.0
lumen-san-bernardino-1,datacenters.com,Lumen: San Bernardino 1 Data Center,Lumen,5705 Industrial Parkway,San Bernardino,,CA,USA,20000 sqft total space,1140 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-san-bernardino-1,,20000.0
oracle-us-dod-west-us-gov-phoenix-1,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/oracle-us-dod-west-us-gov-phoenix-1,,
lumen-mobile-1,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/lumen-mobile-1,,
mod-mission-critical-bnd1-one-neck-pop,datacenters.com,,,,,,,,,,,,,,https://www.datacenters.com/mod-mission-critical-bnd1-one-neck-pop,,
lumen-phoenix-2,datacenters.com,Lumen: Phoenix 2 Data Center,Lumen,17 East Virginia Avenue,Phoenix,,AZ,USA,5000 sqft total space,2800 sqft colocation space,,,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-phoenix-2,,5000.0
limestone-networks-jfk1-nyc,datacenters.com,Limestone Networks: JFK1 NYC Data Center,Limestone Networks,5851 West Side Avenue,North Bergen,,NJ,USA,,,,,,"PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/limestone-networks-jfk1-nyc,,
volico-fll1-broward,datacenters.com,Volico Data Center: FLL1 - Broward Data Center,Volico,500 Green Road,Deerfield Beach,33064,FL,USA,140000 sqft total space,12000 sqft colocation space,,48.0 MW total power,Enterprise-Class,"HIPAA, PCI DSS, SOC 2 Type 2, SSAE 16 Type 2",https://www.datacenters.com/volico-fll1-broward,48.0,140000.0
