unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
psychz-networks-dallas,datacenters.com,Psychz Networks: Dallas Data Center,Psychz Networks,1515 Round Table Drive,Dallas,,TX,USA,60000 sqft total space,60000,,10MW,Enterprise,"HIPAA, PCI DSS",https://www.datacenters.com/psychz-networks-dallas,10.0,60000.0,"1515 Round Table Drive, Dallas, TX, None, USA",,
cogent-communications-phoenix,datacenters.com,Cogent Communications: Phoenix Data Center,Cogent Communications,3410 East University Drive,Phoenix,,AZ,USA,,,,,,,https://www.datacenters.com/cogent-communications-phoenix,,,"3410 East University Drive, Phoenix, AZ, None, USA",,
digital-realty-boston-bos16,datacenters.com,Digital Realty: Boston BOS16 Data Center,Digital Realty,105 Cabot Street,Needham,,MA,USA,133000 sqft,40000 sqft,,10.0 MW,,"HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 2, SOC 3",https://www.datacenters.com/digital-realty-boston-bos16,10.0,133000.0,"105 Cabot Street, Needham, MA, None, USA",,
stream-san-antonio-ii-westover-hills,datacenters.com,Stream Data Centers: San Antonio II - Westover HIlls Data Center,Stream Data Centers,9550 Westover Hills Blvd,San Antonio,,TX,USA,75840 sqft total space,30000 sqft colocation space,,10.0 MW total power,,"HIPAA, ISO 27001, LEED, PCI DSS, SOC 1 Type 2, SOC 2 Type 1, SOC 2 Type 2",https://www.datacenters.com/stream-san-antonio-ii-westover-hills,10.0,75840.0,"9550 Westover Hills Blvd, San Antonio, TX, None, USA",,
centerserv-raleigh,datacenters.com,CenterServ: Raleigh Data Center,CenterServ,421 Fayetteville Street,Raleigh,,NC,USA,,,,,,"ISO 14001, ISO 27001, PCI DSS",https://www.datacenters.com/centerserv-raleigh,,,"421 Fayetteville Street, Raleigh, NC, None, USA",,
cbre-2121-e-63rd-st,datacenters.com,CBRE: 2121 E 63rd St Data Center,CBRE,2121 East 63rd Street,Kansas City,,MO,USA,"450,021 SF","270,000 SF",,3.6MW,Enterprise,,https://www.datacenters.com/cbre-2121-e-63rd-st,3.6,,"2121 East 63rd Street, Kansas City, MO, None, USA",,
123net-detroit-dc1,datacenters.com,Not Available,123NET,24700 Northwestern Hwy,Southfield,48075,MI,USA,136000 sqft total space,80000 sqft colocation space,,7.0 MW total power,,"HIPAA, PCI DSS, SOC 1, SOC 1 Type 1, SOC 1 Type 2, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/123net-detroit-dc1,7.0,136000.0,"24700 Northwestern Hwy, Southfield, MI, 48075, USA",42.470983123383704,-83.23869961104127
cybernest-cybernest-portland,datacenters.com,CyberNest: CyberNest Portland,,3935 Northeast Aloclek Drive,Hillsboro,,OR,USA,,,,,,"PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/cybernest-cybernest-portland,,,"3935 Northeast Aloclek Drive, Hillsboro, OR, None, USA",,
segra-charlotte-two,datacenters.com,Segra: Charlotte Two Data Center,Segra,3101 International Airport Drive,Charlotte,,NC,USA,28000 sqft total space,14032 sqft colocation space,,2.0 MW total power,,"HIPAA, PCI DSS, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2",https://www.datacenters.com/segra-charlotte-two,2.0,28000.0,"3101 International Airport Drive, Charlotte, NC, None, USA",,
vultr-dallas,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/vultr-dallas,,,None,44.933143,7.540121
